seq,room,deposit,rent,new_deposit,deposit_refund,plate,parking_fee,commission,period_start,period_end,remark,sheet,property,building
,S306,,,,,,,,,,,12月租金,嘉定公寓,
,S310,,,,,,,,,,,12月租金,嘉定公寓,
,S311,,,,,,,,,,,12月租金,嘉定公寓,
,S312,,,,,,,,,,,12月租金,嘉定公寓,
,S313,,,,,,,,,,,12月租金,嘉定公寓,
,S314,,,,,,,,,,,12月租金,嘉定公寓,
,S407,,,,,,,,,,,12月租金,嘉定公寓,
,S409,,,,,,,,,,,12月租金,嘉定公寓,
,S410,,,,,,,,,,,12月租金,嘉定公寓,
,S411,,,,,,,,,,,12月租金,嘉定公寓,
,S412,,,,,,,,,,,12月租金,嘉定公寓,
,S413,,,,,,,,,,,12月租金,嘉定公寓,
,S414,,,,,,,,,,,12月租金,嘉定公寓,
,R102,,,,,,,,,,,11月租金,嘉定公寓,
,R103,,,,,,,,,,,11月租金,嘉定公寓,
,R105,,,,,,,,,,,11月租金,嘉定公寓,
,R106,,,,,,,,,,,11月租金,嘉定公寓,
,R108,,,,,,,,,,,11月租金,嘉定公寓,
,R109,,,,,,,,,,,11月租金,嘉定公寓,
,R201,,,,,,,,,,,11月租金,嘉定公寓,
,R202,,,,,,,,,,,11月租金,嘉定公寓,
,R203,,,,,,,,,,,11月租金,嘉定公寓,
,R204,,,,,,,,,,,11月租金,嘉定公寓,
,R205,,,,,,,,,,,11月租金,嘉定公寓,
,R206,,,,,,,,,,,11月租金,嘉定公寓,
,R207,,,,,,,,,,,11月租金,嘉定公寓,
,R208,,,,,,,,,,,11月租金,嘉定公寓,
,R209,,,,,,,,,,,11月租金,嘉定公寓,
,R210,,,,,,,,,,,11月租金,嘉定公寓,
,R212,,,,,,,,,,,11月租金,嘉定公寓,
,R214,,,,,,,,,,,11月租金,嘉定公寓,
,R216,,,,,,,,,,,11月租金,嘉定公寓,
,R218,,,,,,,,,,,11月租金,嘉定公寓,
,R301,,,,,,,,,,,11月租金,嘉定公寓,
,R303,,,,,,,,,,,11月租金,嘉定公寓,
,R304,,,,,,,,,,,11月租金,嘉定公寓,
,R305,,,,,,,,,,,11月租金,嘉定公寓,
,R306,,,,,,,,,,,11月租金,嘉定公寓,
,R307,,,,,,,,,,,11月租金,嘉定公寓,
,R308,,,,,,,,,,,11月租金,嘉定公寓,
,R309,,,,,,,,,,,11月租金,嘉定公寓,
,R310,,,,,,,,,,,11月租金,嘉定公寓,
,R311,,,,,,,,,,,11月租金,嘉定公寓,
,R312,,,,,,,,,,,11月租金,嘉定公寓,
,R313,,,,,,,,,,,11月租金,嘉定公寓,
,R314,,,,,,,,,,,11月租金,嘉定公寓,
,R315,,,,,,,,,,,11月租金,嘉定公寓,
,R316,,,,,,,,,,,11月租金,嘉定公寓,
,R317,,,,,,,,,,,11月租金,嘉定公寓,
,R401,,,,,,,,,,,11月租金,嘉定公寓,
,R403,,,,,,,,,,,11月租金,嘉定公寓,
,S001,,,,,,,,,,,11月租金,嘉定公寓,S楼
,S002,,,,,,,,,,,11月租金,嘉定公寓,
,S004,,,,,,,,,,,11月租金,嘉定公寓,
,S005,,,,,,,,,,,11月租金,嘉定公寓,
,S101,,,,,,,,,,,11月租金,嘉定公寓,
,S102,,,,,,,4000.0,,,退房减掉4000,11月租金,嘉定公寓,
,S103,,,,,,,,,,,11月租金,嘉定公寓,
,S104,2400,,,,,,1200.0,,,退房调换R404房间退一半押金,11月租金,嘉定公寓,
,S106,,,,,,,,,,,11月租金,嘉定公寓,
,S107,,,,,,,,,,,11月租金,嘉定公寓,
,S108,,,,,,,,,,,11月租金,嘉定公寓,
,S109,,,,,,,,,,,11月租金,嘉定公寓,
,S110,,,,,,,,,,,11月租金,嘉定公寓,
,S202,,,,,,,,,,,11月租金,嘉定公寓,
,S204,,,,,,,,,,,11月租金,嘉定公寓,
,S206,,,,,,,,,,,11月租金,嘉定公寓,
,S207,,,,,,,,,,,11月租金,嘉定公寓,
,S208,,,,,,,,,,,11月租金,嘉定公寓,
,S209,,,,,,,,,,鸿翼员工11月18日开始入住,11月租金,嘉定公寓,
